frame,time_s,person,L Knee Flex,R Knee Flex,L Hip Flex,R Hip Flex,L Elbow Flex,R Elbow Flex,L Shoulder Flex,R Shoulder Flex,Trunk Inclination
103,5.150000,0,161.8368,,139.1557,,100.7377,,34.1618,,25.0816
104,5.200000,0,159.0234,,131.7679,,104.3494,,34.7074,,30.3837
105,5.250000,0,156.2437,,124.7351,,108.1338,,36.7440,,35.1643
106,5.300000,0,152.3536,,117.2472,,112.3925,,39.6223,,40.1132
107,5.350000,0,148.1224,,108.8710,,115.5970,,41.8978,,45.0279
108,5.400000,0,143.5249,,101.5225,,117.4993,,43.2353,,49.3515
109,5.450000,0,136.9587,,92.6129,,118.7245,,45.5559,,53.9668
110,5.500000,0,133.0971,,85.7495,,122.6530,,46.3204,,58.5671
111,5.550000,0,130.4370,,79.9053,,125.0803,,47.9717,,62.6817
112,5.600000,0,,,,,,,,,
113,5.650000,0,125.8256,,74.2821,,127.6704,172.5179,47.3750,67.1146,65.6191
114,5.700000,0,120.6009,,67.3176,,129.7538,167.1359,47.7166,67.1806,68.4371
115,5.750000,0,115.3417,,61.5333,,131.1713,164.1477,47.4018,67.1859,70.2574
116,5.800000,0,110.4115,,56.7221,,132.0912,162.0411,45.8467,66.8608,71.3177
117,5.850000,0,105.3251,,51.1926,,136.7767,160.6069,42.7750,66.1989,72.3234
118,5.900000,0,101.7409,,47.4885,,136.3251,156.6360,42.0347,66.0895,73.3802
119,5.950000,0,100.2624,,46.4786,,134.6711,157.3761,41.2999,66.4913,73.6879
120,6.000000,0,100.6720,,46.5686,,134.7620,159.8081,40.7934,66.4020,73.8624
121,6.050000,0,98.8610,,45.0004,,134.5808,159.0026,42.2841,64.6619,73.6270
122,6.100000,0,99.5022,,45.6201,,135.1754,161.4435,42.0299,64.7815,73.9710
123,6.150000,0,101.0694,,48.0999,,136.5815,163.7073,41.6794,65.5118,72.8603
124,6.200000,0,103.1109,,51.1386,,136.0633,161.7193,41.6328,63.8673,71.5362
125,6.250000,0,107.4143,,56.0034,,137.2008,158.8153,40.6482,62.2067,70.0425
126,6.300000,0,113.2218,135.2342,62.6838,62.3776,138.4513,156.7141,40.3858,58.9188,67.2508
127,6.350000,0,117.8875,135.3960,71.2838,69.6690,139.2774,,39.3371,,62.7762
128,6.400000,0,122.5352,136.7074,79.5801,78.3853,139.1328,158.9885,38.7567,50.2564,58.1688
129,6.450000,0,,138.6413,,85.0729,137.8839,160.2091,,48.0739,
130,6.500000,0,136.1908,138.9928,95.4875,92.3226,136.7931,160.7350,35.0639,44.6461,50.7746
131,6.550000,0,,143.9075,,99.6078,135.2919,162.1579,,42.8477,
132,6.600000,0,,146.4043,,106.3543,134.5780,160.2679,,40.0964,
133,6.650000,0,,148.4153,,113.4491,136.0821,157.0850,,36.2464,
134,6.700000,0,,,,,137.3668,155.4973,,,
135,6.750000,0,152.7382,153.8019,128.0672,128.0069,140.5390,154.1356,26.3451,32.1825,29.7641
136,6.800000,0,156.8918,157.5803,136.7632,137.0325,141.9889,153.7473,25.3626,30.4432,25.2245
137,6.850000,0,159.6224,161.4162,145.2943,145.3887,143.3133,154.0818,24.4646,29.0306,20.7245
138,6.900000,0,162.2436,163.8302,152.2579,150.9110,143.6003,154.2262,23.2626,28.0184,17.3264
139,6.950000,0,164.2431,165.9009,158.5795,155.6645,144.3718,154.5298,22.2467,27.1021,14.2332
140,7.000000,0,166.3801,167.5081,164.3937,159.1421,145.0692,156.4525,21.6830,26.4319,11.5454
141,7.050000,0,169.0265,168.8169,169.6496,161.9130,145.3960,157.9260,21.4197,26.2680,9.3448
